Export Start Trial Time [ms],Score,Export End Trial Time [ms],Visual Intake Count,Visual Intake Frequency [count/s],Visual Intake Duration Total [ms],Visual Intake Duration Average [ms],Visual Intake Duration Maximum [ms],Visual Intake Duration Minimum [ms],Visual Intake Dispersion Total [px],Visual Intake Dispersion Average [px],Visual Intake Dispersion Maximum [px],Visual Intake Dispersion Minimum [px],Saccade Count,Saccade Frequency [count/s],Saccade Duration Total [ms],Saccade Duration Average [ms],Saccade Duration Maximum [ms],Saccade Duration Minimum [ms],Saccade Amplitude Total [°],Saccade Amplitude Average [°],Saccade Amplitude Maximum [°],Saccade Amplitude Minimum [°],Saccade Velocity Total [°/s],Saccade Velocity Average [°/s],Saccade Velocity Maximum [°/s],Saccade Velocity Minimum [°/s],Saccade Latency Average [ms],Blink Count,Blink Frequency [count/s],Blink Duration Total [ms],Blink Duration Average [ms],Blink Duration Maximum [ms],Blink Duration Minimum [ms],Scanpath Length [px],median_split,PERCLOS
0.00,9,439428.80,1026.00,2.30,337721.50,329.20,2854.40,49.70,24332.40,23.70,272.40,3.10,634.00,1.40,26788.90,42.30,248.90,15.90,1686.20,2.70,35.50,0.00,64832.90,102.30,16010.10,0.40,649.50,384.00,0.90,74387.30,193.70,829.30,116.00,77891.00,0.00,225.96
0.00,10,460438.10,985.00,2.10,414454.00,420.80,9077.60,99.30,29080.20,29.50,606.30,3.30,963.00,2.10,38665.90,40.20,265.30,16.10,0.00,0.00,0.00,0.00,59042.50,61.30,4947.10,0.30,437.70,21.00,0.00,7318.10,348.50,1311.10,215.60,96558.00,0.00,17.39
0.00,12,513892.10,1050.00,2.00,416599.40,396.80,12131.10,66.60,43015.80,41.00,1836.50,4.60,898.00,1.70,34283.60,38.20,365.30,16.10,0.00,0.00,0.00,0.00,53614.60,59.70,563.10,0.70,504.40,150.00,0.30,62777.10,418.50,18902.10,149.20,105764.00,1.00,158.21
0.00,12,453850.10,842.00,1.90,363398.50,431.60,5144.50,49.80,25054.80,29.80,387.90,0.00,649.00,1.40,30920.80,47.60,531.20,16.20,0.00,0.00,0.00,0.00,27549.00,42.40,387.80,0.00,651.40,181.00,0.40,58882.90,325.30,1443.80,116.40,56225.00,1.00,136.43
0.00,10,445668.70,877.00,2.00,375388.40,428.00,8281.30,67.00,27422.40,31.30,478.20,5.30,697.00,1.60,31730.30,45.50,281.80,16.20,3143.30,4.50,27.40,0.00,56000.30,80.30,486.00,0.40,592.40,180.00,0.40,38550.00,214.20,863.00,149.30,103753.00,0.00,90.07
0.00,15,467774.00,781.00,1.70,343344.30,439.60,3502.00,66.30,17356.40,22.20,149.10,3.50,592.00,1.30,20499.10,34.60,232.40,15.90,0.00,0.00,0.00,0.00,21422.70,36.20,322.20,0.50,710.70,184.00,0.40,103664.70,563.40,21989.20,99.80,41788.00,1.00,235.82
0.00,12,462280.70,11.00,0.00,1692.30,153.80,315.30,66.40,521.10,47.40,139.50,0.00,4.00,0.00,1012.40,253.10,680.30,33.40,16.60,4.20,12.40,0.20,859.70,214.90,449.50,48.10,93669.80,8.00,0.00,459576.00,57447.00,237529.40,2124.40,2528.00,1.00,2988.14
0.00,12,1178.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.80,1178.60,1178.60,1178.60,1178.60,0.00,1.00,0.00
0.00,15,3966.40,4.00,1.00,3668.30,917.10,1808.90,265.30,101.10,25.30,40.20,16.50,3.00,0.80,116.00,38.70,66.40,16.10,2.60,0.90,2.00,0.00,73.80,24.60,36.60,9.00,1037.10,1.00,0.30,182.00,182.00,182.00,182.00,114.00,1.00,0.20
0.00,15,475506.90,1191.00,2.50,399853.50,335.70,10438.50,82.80,43027.00,36.10,8607.00,1.60,1132.00,2.40,52752.70,46.60,398.10,16.10,0.00,0.00,0.00,0.00,279568.90,247.00,131738.30,0.10,369.60,57.00,0.10,22751.20,399.10,4165.40,133.10,126687.00,1.00,67.77
0.00,15,451161.50,943.00,2.10,334994.20,355.20,3900.00,66.30,337888.90,358.30,164989.80,2.90,662.00,1.50,28572.50,43.20,547.70,16.10,0.00,0.00,0.00,0.00,98967.70,149.50,15445.40,0.20,621.60,271.00,0.60,87427.90,322.60,11467.50,149.20,308990.00,1.00,246.14
